,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
208,1,2016-06-09 21:10:00,2016-06-09 21:48:15,1,16.8,-73.97882080078125,40.75216674804688,2,N,-73.77635192871094,40.64548873901367,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
514,2,2016-06-09 21:06:12,2016-06-09 21:39:05,1,19.35,-73.95646667480467,40.76723098754883,2,N,-73.79035186767578,40.646751403808594,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
730,2,2016-06-09 21:06:57,2016-06-09 21:45:02,2,16.01,-73.97968292236328,40.74966812133789,2,N,-73.7903594970703,40.64385986328125,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
743,2,2016-06-09 21:06:58,2016-06-09 21:43:42,1,22.3,-73.95532989501955,40.76863098144531,2,N,-73.78025817871094,40.64607620239258,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
1198,2,2016-06-09 21:07:19,2016-06-09 21:57:36,1,21.77,-73.99144744873048,40.77022171020508,2,N,-73.78275299072266,40.64397811889648,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
1867,2,2016-06-09 21:14:13,2016-06-09 21:54:27,1,21.1,-73.98087310791014,40.78247833251953,2,N,-73.78032684326173,40.64524841308594,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2111,2,2016-06-09 21:11:35,2016-06-09 22:04:20,1,17.11,-73.98555755615234,40.735145568847656,2,N,-73.78243255615234,40.6441535949707,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
2259,2,2016-06-09 21:07:45,2016-06-09 22:03:04,1,18.3,-73.9838333129883,40.76152038574219,2,N,-73.79036712646483,40.64379119873047,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
3156,2,2016-06-09 21:17:43,2016-06-09 21:58:08,1,19.55,-73.96853637695312,40.79101943969727,2,N,-73.79010772705078,40.64352035522461,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3375,2,2016-06-09 21:08:24,2016-06-09 21:54:42,1,18.76,-73.99556732177734,40.72627639770508,2,N,-73.7932357788086,40.64444351196289,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
4366,1,2016-06-09 21:15:41,2016-06-09 22:00:44,1,20.9,-73.98104095458984,40.78089141845703,2,N,-73.78223419189453,40.64427185058594,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
5733,2,2016-06-09 21:19:12,2016-06-09 21:57:52,2,15.38,-73.97171783447266,40.75363159179688,2,N,-73.79946899414062,40.645240783691406,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
6291,1,2016-06-09 21:20:34,2016-06-09 22:01:40,1,17.0,-73.98458862304686,40.76830673217773,2,N,-73.79039001464844,40.64386367797852,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
7160,1,2016-06-09 21:21:30,2016-06-09 21:50:34,1,17.5,-73.94950866699219,40.796287536621094,2,N,-73.78986358642578,40.64312744140625,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84
7958,1,2016-06-09 21:24:57,2016-06-09 22:05:21,1,20.8,-73.97887420654298,40.78506851196289,2,N,-73.77629852294923,40.64557647705078,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
